user_id	country	age	gender
user_000000	UK	18-24	Other
user_000001	UK	45+	F
user_000002	UK	25-34	F
user_000003	CA	35-44	F
user_000004	US	25-34	F
user_000005	UK	18-24	F
user_000006	DE	45+	F
user_000007	FR	45+	M
user_000008	UK	35-44	Other
user_000009	CA	45+	F
user_000010	US	35-44	M
user_000011	UK	18-24	M
user_000012	DE	45+	Other
user_000013	US	25-34	F
user_000014	UK	45+	F
user_000015	US	35-44	Other
user_000016	UK	18-24	F
user_000017	DE	45+	F
user_000018	UK	18-24	F
user_000019	US	25-34	Other
user_000020	FR	45+	Other
user_000021	UK	25-34	Other
user_000022	US	25-34	Other
user_000023	FR	45+	M
user_000024	US	25-34	F
user_000025	UK	18-24	F
user_000026	US	18-24	F
user_000027	UK	45+	M
user_000028	CA	45+	F
user_000029	DE	18-24	M
user_000030	CA	45+	Other
user_000031	CA	35-44	F
user_000032	UK	35-44	M
user_000033	UK	35-44	Other
user_000034	UK	25-34	Other
user_000035	FR	35-44	Other
user_000036	UK	25-34	M
user_000037	CA	35-44	Other
user_000038	FR	18-24	Other
user_000039	CA	18-24	Other
user_000040	US	25-34	Other
user_000041	CA	18-24	M
user_000042	US	18-24	Other
user_000043	DE	18-24	Other
user_000044	US	25-34	M
user_000045	DE	18-24	F
user_000046	CA	18-24	Other
user_000047	DE	25-34	M
user_000048	DE	25-34	F
user_000049	DE	25-34	Other
user_000050	DE	18-24	Other
user_000051	CA	25-34	Other
user_000052	UK	45+	M
user_000053	DE	35-44	Other
user_000054	US	45+	F
user_000055	US	18-24	M
user_000056	UK	35-44	F
user_000057	CA	25-34	Other
user_000058	FR	25-34	F
user_000059	DE	35-44	Other
user_000060	US	35-44	M
user_000061	US	18-24	F
user_000062	UK	45+	F
user_000063	DE	25-34	Other
user_000064	UK	45+	M
user_000065	UK	18-24	F
user_000066	US	18-24	F
user_000067	UK	35-44	M
user_000068	DE	18-24	M
user_000069	US	25-34	F
user_000070	UK	25-34	Other
user_000071	FR	25-34	Other
user_000072	US	35-44	F
user_000073	FR	45+	F
user_000074	UK	18-24	M
user_000075	FR	25-34	F
user_000076	CA	18-24	M
user_000077	US	35-44	Other
user_000078	CA	45+	F
user_000079	US	45+	M
user_000080	DE	35-44	Other
user_000081	US	18-24	M
user_000082	DE	18-24	M
user_000083	UK	35-44	F
user_000084	US	45+	Other
user_000085	FR	25-34	F
user_000086	DE	45+	M
user_000087	US	45+	Other
user_000088	CA	25-34	F
user_000089	UK	25-34	Other
user_000090	US	25-34	Other
user_000091	FR	25-34	F
user_000092	UK	35-44	Other
user_000093	CA	18-24	Other
user_000094	FR	35-44	Other
user_000095	UK	45+	Other
user_000096	FR	18-24	F
user_000097	DE	18-24	M
user_000098	CA	35-44	M
user_000099	FR	45+	F
user_000100	CA	25-34	Other
user_000101	DE	18-24	M
user_000102	CA	45+	Other
user_000103	US	18-24	F
user_000104	FR	18-24	M
user_000105	UK	45+	M
user_000106	US	35-44	F
user_000107	UK	18-24	F
user_000108	FR	35-44	Other
user_000109	US	35-44	M
user_000110	FR	35-44	M
user_000111	US	45+	Other
user_000112	US	25-34	Other
user_000113	CA	18-24	M
user_000114	US	18-24	M
user_000115	DE	18-24	M
user_000116	DE	45+	Other
user_000117	DE	18-24	Other
user_000118	DE	35-44	M
user_000119	DE	35-44	F
user_000120	FR	35-44	F
user_000121	UK	25-34	F
user_000122	US	35-44	M
user_000123	CA	35-44	F
user_000124	UK	18-24	M
user_000125	US	25-34	Other
user_000126	CA	35-44	M
user_000127	FR	45+	Other
user_000128	FR	35-44	Other
user_000129	UK	25-34	M
user_000130	CA	25-34	Other
user_000131	FR	25-34	F
user_000132	UK	45+	F
user_000133	CA	35-44	F
user_000134	DE	45+	F
user_000135	FR	45+	Other
user_000136	DE	18-24	M
user_000137	DE	35-44	F
user_000138	US	25-34	F
user_000139	DE	35-44	Other
user_000140	US	35-44	Other
user_000141	FR	45+	M
user_000142	CA	25-34	F
user_000143	FR	18-24	Other
user_000144	US	25-34	M
user_000145	CA	35-44	F
user_000146	FR	25-34	F
user_000147	UK	35-44	M
user_000148	FR	25-34	Other
user_000149	CA	45+	F
user_000150	UK	25-34	Other
user_000151	CA	18-24	Other
user_000152	DE	18-24	Other
user_000153	US	35-44	Other
user_000154	US	35-44	Other
user_000155	FR	45+	F
user_000156	UK	18-24	M
user_000157	US	25-34	Other
user_000158	FR	18-24	M
user_000159	UK	25-34	M
user_000160	FR	25-34	M
user_000161	UK	25-34	F
user_000162	FR	18-24	Other
user_000163	DE	18-24	M
user_000164	FR	18-24	M
user_000165	US	25-34	M
user_000166	UK	45+	M
user_000167	FR	18-24	Other
user_000168	US	18-24	M
user_000169	UK	25-34	F
user_000170	CA	45+	M
user_000171	US	35-44	F
user_000172	CA	25-34	Other
user_000173	DE	25-34	M
user_000174	FR	45+	Other
user_000175	DE	18-24	M
user_000176	US	35-44	F
user_000177	FR	18-24	F
user_000178	CA	35-44	F
user_000179	DE	25-34	Other
user_000180	CA	35-44	F
user_000181	FR	25-34	M
user_000182	UK	18-24	F
user_000183	CA	35-44	Other
user_000184	US	45+	Other
user_000185	US	18-24	Other
user_000186	US	45+	Other
user_000187	US	45+	Other
user_000188	US	25-34	Other
user_000189	US	45+	Other
user_000190	DE	45+	Other
user_000191	US	25-34	F
user_000192	DE	18-24	M
user_000193	DE	35-44	M
user_000194	FR	18-24	F
user_000195	US	45+	F
user_000196	DE	25-34	Other
user_000197	DE	18-24	M
user_000198	US	25-34	F
user_000199	UK	35-44	M
user_000200	UK	18-24	M
user_000201	UK	18-24	F
user_000202	FR	25-34	Other
user_000203	US	25-34	F
user_000204	US	45+	F
user_000205	DE	25-34	F
user_000206	UK	18-24	Other
user_000207	US	18-24	M
user_000208	CA	25-34	M
user_000209	US	45+	Other
user_000210	UK	45+	M
user_000211	FR	45+	F
user_000212	DE	45+	M
user_000213	FR	18-24	M
user_000214	FR	45+	Other
user_000215	CA	45+	M
user_000216	US	18-24	F
user_000217	DE	25-34	F
user_000218	CA	25-34	Other
user_000219	UK	25-34	M
user_000220	US	25-34	M
user_000221	DE	18-24	Other
user_000222	UK	25-34	M
user_000223	UK	18-24	M
user_000224	FR	18-24	F
user_000225	FR	25-34	F
user_000226	US	35-44	M
user_000227	FR	18-24	Other
user_000228	DE	25-34	Other
user_000229	CA	45+	Other
user_000230	FR	35-44	F
user_000231	FR	25-34	F
user_000232	DE	25-34	M
user_000233	DE	18-24	Other
user_000234	CA	18-24	M
user_000235	US	18-24	Other
user_000236	DE	25-34	Other
user_000237	DE	25-34	Other
user_000238	CA	45+	F
user_000239	CA	35-44	M
user_000240	FR	18-24	M
user_000241	FR	45+	M
user_000242	UK	18-24	F
user_000243	DE	45+	M
user_000244	US	35-44	M
user_000245	CA	35-44	M
user_000246	DE	35-44	F
user_000247	FR	25-34	M
user_000248	FR	25-34	F
user_000249	US	25-34	Other
user_000250	DE	45+	F
user_000251	CA	18-24	Other
user_000252	CA	45+	Other
user_000253	US	45+	F
user_000254	FR	25-34	Other
user_000255	CA	25-34	F
user_000256	CA	25-34	F
user_000257	US	35-44	Other
user_000258	US	35-44	Other
user_000259	FR	35-44	Other
user_000260	UK	25-34	Other
user_000261	UK	25-34	Other
user_000262	CA	45+	F
user_000263	FR	18-24	M
user_000264	US	18-24	Other
user_000265	FR	18-24	Other
user_000266	DE	45+	M
user_000267	DE	25-34	M
user_000268	CA	35-44	M
user_000269	US	35-44	F
user_000270	DE	25-34	Other
user_000271	CA	45+	F
user_000272	FR	25-34	M
user_000273	UK	45+	Other
user_000274	US	45+	F
user_000275	UK	35-44	F
user_000276	UK	25-34	Other
user_000277	US	18-24	M
user_000278	UK	35-44	F
user_000279	US	45+	M
user_000280	DE	18-24	F
user_000281	US	18-24	F
user_000282	UK	35-44	M
user_000283	FR	45+	Other
user_000284	FR	18-24	F
user_000285	UK	18-24	M
user_000286	DE	45+	F
user_000287	DE	35-44	M
user_000288	CA	18-24	Other
user_000289	UK	45+	Other
user_000290	FR	35-44	M
user_000291	UK	18-24	F
user_000292	CA	25-34	M
user_000293	FR	18-24	F
user_000294	UK	25-34	F
user_000295	DE	45+	Other
user_000296	CA	45+	M
user_000297	FR	35-44	F
user_000298	UK	35-44	M
user_000299	UK	45+	M
user_000300	CA	35-44	F
user_000301	US	25-34	F
user_000302	US	18-24	Other
user_000303	UK	18-24	Other
user_000304	UK	35-44	Other
user_000305	FR	18-24	F
user_000306	DE	18-24	Other
user_000307	DE	18-24	Other
user_000308	FR	25-34	F
user_000309	US	45+	M
user_000310	US	45+	F
user_000311	UK	18-24	Other
user_000312	US	35-44	F
